LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAYMENT_NEXT_MONTH,NUM_DELAYED_MONTHS,MAX_PAYMENT_DELAY,HAS_PAYMENT_DELAY,RECENT_DELAY,AVG_BILL_AMT,MAX_BILL_AMT,AVG_PAY_AMT,TOTAL_PAY_AMT,ZERO_PAYMENT_MONTHS,CREDIT_UTILIZATION,AVG_CREDIT_UTILIZATION,PAYMENT_TO_BILL_RATIO,BILL_CHANGE
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,0,0,0,0,20647.166666666668,38358,7038.5,42231,0,0.2950615384615385,0.15882435897435898,0.3408942308468474,37428
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,0,0,0,0,316.0,632,263.3333333333333,1580,2,0.0026333333333333334,0.0026333333333333334,0.8333333333333333,0
70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,4,2,1,1,44245.833333333336,46905,1835.0,11010,2,0.5869571428571428,0.6320833333333333,0.04147283171673415,-4925
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,0,0,0,0,4494.166666666667,19420,3764.8333333333335,22589,2,0.012248888888888889,0.009987037037037037,0.8377155572037827,5512
90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,0,0,0,0,5310.666666666667,8292,2733.3333333333335,16400,1,0.05271111111111111,0.05900740740740741,0.5146874215415516,-3548
50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,0,0,0,0,35715.833333333336,47620,1315.1666666666667,7891,0,0.9524,0.7143166666666667,0.036823071000256655,17574
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,1,1,1,1,-65.66666666666667,259,416.6666666666667,2500,3,-0.0018166666666666667,-0.0010944444444444445,-6.345177664974619,80
50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,0,0,0,0,18711.333333333332,22541,1185.3333333333333,7112,0,0.45082,0.37422666666666665,0.06334841628959276,2924
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,0,0,0,0,6701.333333333333,30430,6594.5,39567,1,0.013,0.13402666666666666,0.984057898925587,393
50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,0,0,0,0,16180.333333333334,18375,1100.0,6600,1,0.30658,0.32360666666666665,0.06798376630065306,3929
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,0,0,0,0,18957.666666666668,36923,16248.166666666666,97489,1,0.07237391304347826,0.08242463768115943,0.8570762927927135,-20277
50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,1,2,1,1,25311.5,30518,1155.6666666666667,6934,0,0.61036,0.50623,0.045657770841975656,6838
100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,0,0,0,0,82539.5,93036,3124.0,18744,0,0.93036,0.825395,0.037848545241975055,17447
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,0,0,0,0,20957.333333333332,71439,26417.0,158502,0,0.021858,0.04191466666666666,1.2605134240997584,1948
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,0,0,0,0,9719.666666666666,31130,7570.833333333333,45425,1,0.027418,0.019439333333333333,0.7789190301450667,8416
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,0,0,0,0,4218.666666666667,30265,380.0,2280,1,0.18915625,0.02636666666666667,0.09007585335018962,32149
280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,0,0,0,0,178329.5,186503,6987.166666666667,41923,0,0.6660821428571428,0.6368910714285714,0.03918121604483087,9090
60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,0,0,0,0,5379.833333333333,18660,8891.5,53349,1,0.2509,0.08966388888888889,1.6527463676074228,-3606
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,1,1,1,1,130.0,780,130.0,780,5,0.0,0.0026,1.0,0
280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,1,2,1,0,8607.166666666666,17976,6226.166666666667,37357,1,0.0017785714285714286,0.03073988095238095,0.7233700598338595,-8979
360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,0,0,0,0,275125.1666666667,628699,40640.0,243840,0,0.6074111111111111,0.7642365740740741,0.14771458566434306,39444
70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,0,0,0,0,65476.0,67521,3223.6666666666665,19342,0,0.9645857142857143,0.9353714285714285,0.04923432504530922,1551
10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,0,0,0,0,3793.5,6003,1204.5,7227,0,0.1877,0.37935,0.31751680506128904,-2574
140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,0,0,0,0,64189.0,69802,3333.3333333333335,20000,0,0.4250285714285714,0.45849285714285715,0.05192997761817965,-10298
40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,1,2,1,0,24530.833333333332,29197,2166.6666666666665,13000,2,0.473175,0.6132708333333333,0.08832421782110948,-10270
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0,6,0.0,0.0,0.0,0
20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,1,2,1,0,13221.333333333334,16675,3345.8333333333335,20075,3,0.7014,0.6610666666666667,0.25306323114158935,14028
150000,2,4,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,0,0,0,0,1639.5,4463,363.8333333333333,2183,4,0.029753333333333333,0.01093,0.22191725119446984,4463
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,0,0,0,0,19135.833333333332,32018,15555.333333333334,93332,0,0.05895,0.05035745614035087,0.8128903017898359,10528
20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,0,0,0,0,19301.666666666668,20480,1041.0,6246,0,0.87235,0.9650833333333334,0.053933166393230286,-2616
70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,5,2,1,1,38168.666666666664,39423,1350.0,8100,2,0.5291714285714286,0.5452666666666667,0.03536932562485809,-2320
100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,0,0,0,0,44197.5,61559,1601.0,9606,0,0.61559,0.441975,0.03622376831268737,28301
310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,0,0,0,0,7354.166666666667,13465,5111.333333333333,30668,1,0.04343548387096774,0.023723118279569893,0.6950254957507082,13001
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,2,2,1,1,43191.833333333336,45319,1707.6666666666667,10246,0,0.2300111111111111,0.23995462962962966,0.039536795150317765,-3917
150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,1,2,1,1,29458.5,46224,2144.5,12867,0,0.30816,0.19639,0.07279732505049476,29684
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,0,0,0,0,1398.0,3640,1080.5,6483,2,0.00381,0.002796,0.772889842632332,-625
180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,0,0,0,0,9234.0,16386,4863.166666666667,29179,0,0.09103333333333333,0.0513,0.526658725001805,8065
180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,0,0,0,0,158727.0,175886,5677.0,34062,0,0.9771444444444445,0.8818166666666667,0.03576581173965362,45968
200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,5,3,1,0,1124.5,1587,316.6666666666667,1900,4,0.007935,0.0056225,0.2816066399881429,173
400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,0,0,0,0,380690.0,404205,18171.5,109029,0,1.000335,0.951725,0.047733063647587275,36045
500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,0,0,0,0,18283.166666666668,23638,1469.3333333333333,8816,0,0.045696,0.03656633333333333,0.08036536340349501,7277
70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,0,0,0,0,40707.0,72060,2020.0,12120,1,1.0114285714285713,0.5815285714285714,0.049622914977767954,69970
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,6,2,1,1,26279.0,28264,1020.8333333333334,6125,3,0.49974,0.52558,0.03884597333739234,-3277
50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,0,0,0,0,9647.333333333334,29166,166.66666666666666,1000,5,0.57436,0.19294666666666668,0.017275931172690207,28718
130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,0,0,0,0,408.6666666666667,2353,392.1666666666667,2353,5,0.0007615384615384615,0.0031435897435897436,0.9596247960848288,99
200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,2,2,1,0,78272.66666666667,152519,1587.0,9522,3,0.762595,0.39136333333333334,0.020275277023056152,144601
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,3,2,1,1,3808.6666666666665,4326,501.6666666666667,3010,1,0.2097,0.38086666666666663,0.13171713635568003,-2229
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,1,2,1,1,1431.5,4250,1533.0,9198,0,0.0014285714285714286,0.006816666666666667,1.0709046454767726,-3950
130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,2,2,1,1,1316.8333333333333,10311,6896.5,41379,3,-0.0014615384615384616,0.010129487179487178,5.237185166434629,-7509
20000,1,4,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,1,2,1,1,14721.0,18565,616.6666666666666,3700,2,0.92825,0.73605,0.0418902701356339,12583
80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,0,0,0,0,390.0,780,325.0,1950,1,0.00975,0.004875,0.8333333333333334,390
320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,6,2,1,1,60358.666666666664,63526,2300.0,13800,1,0.182084375,0.18862083333333332,0.0381055468422099,-5259
200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,1,2,1,0,4404.166666666667,9076,3252.0,19512,0,0.04538,0.022020833333333333,0.7383916745506149,5925
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,1,1,1,1,919.0,3155,919.0,5514,4,0.0,0.0031689655172413792,1.0,0
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,0,0,0,0,23699.833333333332,80153,23666.166666666668,141997,0,0.00896470588235294,0.06970539215686274,0.9985794555517269,-22772
20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,1,2,1,0,16888.0,18543,931.6666666666666,5590,2,0.73095,0.8444,0.055167377230380545,-3924
50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,0,0,0,0,24234.333333333332,42838,1059.6666666666667,6358,0,0.85676,0.48468666666666665,0.04372584350026822,32808
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0,0,291.0,291,291.0,1746,0,0.00097,0.00097,1.0,0
30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,0,0,0,0,24864.333333333332,30326,1401.8333333333333,8411,1,0.9462333333333334,0.828811111111111,0.05637928491949647,21976
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,0,0,0,0,102470.5,165254,3654.3333333333335,21926,0,0.35160425531914896,0.21802234042553192,0.03566229630316368,135365
360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,0,0,0,0,49150.5,180000,26892.5,161355,0,0.06503055555555555,0.13652916666666667,0.5471460107221696,23215
60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,0,0,0,0,23927.666666666668,28108,890.8333333333334,5345,1,0.4387333333333333,0.39879444444444445,0.03723026343284622,6553
400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,1,2,1,0,116825.33333333333,139060,3792.1666666666665,22753,0,0.3289875,0.29206333333333334,0.03246013992398909,37537
50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,0,0,0,0,29583.166666666668,48909,1008.6666666666666,6052,0,0.97818,0.5916633333333333,0.03409596673784077,29427
160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,0,0,0,0,111168.83333333333,130028,16957.833333333332,101747,0,0.812675,0.6948052083333333,0.15254125481812197,9610
360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,1,2,1,0,585.0,1170,390.0,2340,2,0.0010833333333333333,0.001625,0.6666666666666666,0
160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,0,0,0,0,5270.5,8604,1369.3333333333333,8216,1,0.0239125,0.032940625,0.2598108971318344,3060
130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,0,0,0,0,37755.666666666664,117866,9450.833333333334,56705,0,0.6254846153846154,0.2904282051282051,0.2503156259104594,80123
20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,3,2,1,1,10218.166666666666,12314,1025.1666666666667,6151,2,0.42915,0.5109083333333333,0.10032784746122105,-3387
200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,6,2,1,1,143694.5,149531,5466.666666666667,32800,0,0.6909,0.7184725,0.03804367367342986,-11351
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,0,0,0,0,2560.0,7524,661.3333333333334,3968,5,0.02687142857142857,0.009142857142857144,0.25833333333333336,7524
100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,0,0,0,0,592.5,5555,1259.1666666666667,7555,5,-0.02,0.005925,2.1251758087201127,-2000
160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,0,0,0,0,693.6666666666666,1602,1836.3333333333333,11018,2,0.0055,0.004335416666666666,2.647284959154253,880
60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,0,0,0,0,32973.166666666664,47214,1043.5,6261,0,0.7608,0.5495527777777778,0.03164694524335445,26325
90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,0,0,0,0,59119.333333333336,87653,1959.3333333333333,11756,0,0.9302777777777778,0.6568814814814815,0.03314200656299687,52890
360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,0,0,0,0,9743.333333333334,26370,20102.166666666668,120613,1,0.011019444444444445,0.027064814814814816,2.0631713992473486,-5989
150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,0,0,0,0,79901.83333333333,89775,3973.5,23841,0,0.5733933333333333,0.5326788888888888,0.049729772575097364,45221
50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,0,0,0,0,13965.666666666666,18722,630.5,3783,0,0.37444,0.2793133333333333,0.045146430532019,10823
20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,0,0,0,0,15536.166666666666,19559,947.5,5685,1,0.89865,0.7768083333333333,0.06098672988832509,17823
140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,0,0,0,0,2279.8333333333335,10212,2167.8333333333335,13007,1,0.0048,0.01628452380952381,0.9508736018714818,-758
380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,0,0,0,0,22100.333333333332,34056,7003.166666666667,42019,0,-0.0002131578947368421,0.058158771929824556,0.3168805900363494,-34137
480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,2,2,1,0,460169.1666666667,487066,21828.5,130971,1,0.8793104166666666,0.9586857638888889,0.04743581617629748,-47892
50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,0,0,0,0,34227.666666666664,44698,1145.0,6870,0,0.89396,0.6845533333333332,0.03345247022389296,20604
60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,5,2,1,1,57006.333333333336,60218,2252.8333333333335,13517,1,0.94475,0.9501055555555556,0.03951900081277519,1380
70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,0,0,0,0,5351.5,26529,4754.833333333333,28529,4,0.07971428571428571,0.07645,0.8885047805911115,-20949
80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,0,0,0,0,2977.5,6108,2132.3333333333335,12794,0,0.07635,0.03721875,0.716148894486426,4958
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,0,0,0,0,1831.1666666666667,5263,2547.5,15285,0,0.002037142857142857,0.005231904761904762,1.3911895876945481,-4550
130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,0,0,0,0,113489.66666666667,178382,47961.333333333336,287768,1,1.3187538461538462,0.872997435897436,0.4226052885872135,44870
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,1,1,1,1,-103.0,-103,0.0,0,6,-0.0002861111111111111,-0.0002861111111111111,-0.0,0
330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0,1,2,1,0,106596.66666666667,108431,5457.833333333333,32747,2,0.32084545454545454,0.32302020202020204,0.05120078801713624,-1410
50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,1,2,1,0,15523.166666666666,17393,1166.6666666666667,7000,0,0.26488,0.3104633333333333,0.07515648654162059,-4149
280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0,6,3,1,1,142501.33333333334,152174,6767.333333333333,40604,2,0.48454642857142854,0.5089333333333333,0.04748961413226542,-13742
100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0,0,0,0,0,55864.333333333336,60100,2977.6666666666665,17866,0,0.52128,0.5586433333333334,0.053301748879726475,-7585
